"filename", "language", "C#", "XML", "GLSL", "JSON", "Properties", "comment", "blank", "total"
"d:\coding\psxtk\Directory.Build.props", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"d:\coding\psxtk\Directory.Build.targets", "XML", 0, 15, 0, 0, 0, 0, 1, 16
"d:\coding\psxtk\Game.cs", "C#", 874, 0, 0, 0, 0, 5, 193, 1072
"d:\coding\psxtk\Program.cs", "C#", 2, 0, 0, 0, 0, 0, 2, 4
"d:\coding\psxtk\bin\Debug\net9.0\psxtk.deps.json", "JSON", 0, 0, 0, 444, 0, 0, 0, 444
"d:\coding\psxtk\bin\Debug\net9.0\psxtk.runtimeconfig.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 12
"d:\coding\psxtk\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"d:\coding\psxtk\obj\Debug\net9.0\psxtk.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 9, 5, 23
"d:\coding\psxtk\obj\Debug\net9.0\psxtk.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 15, 0, 1, 16
"d:\coding\psxtk\obj\Debug\net9.0\psxtk.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 0, 1, 1, 9
"d:\coding\psxtk\obj\project.assets.json", "JSON", 0, 0, 0, 1171, 0, 0, 0, 1171
"d:\coding\psxtk\obj\psxtk.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 83
"d:\coding\psxtk\obj\psxtk.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 16
"d:\coding\psxtk\obj\psxtk.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"d:\coding\psxtk\psxtk.csproj", "XML", 0, 17, 0, 0, 0, 0, 5, 22
"d:\coding\psxtk\shaders\shader.frag", "GLSL", 0, 0, 6, 0, 0, 0, 4, 10
"d:\coding\psxtk\shaders\shader.vert", "GLSL", 0, 0, 16, 0, 0, 0, 5, 21
"Total", "-", 895, 60, 22, 1710, 15, 16, 218, 2936
